"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","ניהול חשבון משתמש","0","התנתקות מהמערכת - Logout","1","0","תהליך התנתקות תקין","0"
"0","ניהול מלאי ומוצרים","0","חנות SauceDemo - Inventory","3","0","מיון מוצרים","0"
"0","מערכת ניהול משתמשים","0","תהליך התחברות (Login)","1","0","חסימת משתמש עם פרטים שגויים","0"
"0","","0","","2","0","","0"
"0","תהליכים עסקיים מקצה לקצה","0","רכישת מוצרים - E2E","1","0","תהליך רכישה בסיסי מוצלח","0"
"0","ניהול מלאי ומוצרים","0","חנות SauceDemo - Inventory","1","0","הוספת מספר מוצרים","0"
"0","ניהול מלאי ומוצרים","0","חנות SauceDemo - Inventory","1","0","הוספת מוצר בודד לעגלה","0"
"0","ניהול מלאי ומוצרים","0","חנות SauceDemo - Inventory","1","0","פונקציונליות UI - גלילה","0"
"0","ניהול מלאי ומוצרים","0","חנות SauceDemo - Inventory","1","0","מחיקת מוצר מהעגלה","0"
"0","מערכת ניהול משתמשים","0","תהליך התחברות (Login)","1","0","התחברות מוצלחת עם פרטים תקינים","0"
